Employee ID,First Name,Last Name,Role,Day,Availability,Available From,Available To
EMP-001,Sofia,Martinez,Bartender,Monday,All Day Unavailable,,
EMP-001,Sofia,Martinez,Bartender,Tuesday,Available,11:00,03:00
EMP-001,Sofia,Martinez,Bartender,Wednesday,Available,16:00,03:00
EMP-001,Sofia,Martinez,Bartender,Thursday,Available,11:00,03:00
EMP-001,Sofia,Martinez,Bartender,Friday,Available,11:00,03:00
EMP-001,Sofia,Martinez,Bartender,Saturday,Available,11:00,03:00
EMP-001,Sofia,Martinez,Bartender,Sunday,Available,11:00,03:00
EMP-002,Marcus,Rivera,Bartender,Monday,Available,11:00,03:00
EMP-002,Marcus,Rivera,Bartender,Tuesday,Available,11:00,03:00
EMP-002,Marcus,Rivera,Bartender,Wednesday,Available,16:00,03:00
EMP-002,Marcus,Rivera,Bartender,Thursday,Available,16:00,03:00
EMP-002,Marcus,Rivera,Bartender,Friday,Available,16:00,03:00
EMP-002,Marcus,Rivera,Bartender,Saturday,All Day Unavailable,,
EMP-002,Marcus,Rivera,Bartender,Sunday,Available,11:00,03:00
EMP-003,Jasmine,Chen,Bartender,Monday,All Day Unavailable,,
EMP-003,Jasmine,Chen,Bartender,Tuesday,All Day Unavailable,,
EMP-003,Jasmine,Chen,Bartender,Wednesday,Available,16:00,03:00
EMP-003,Jasmine,Chen,Bartender,Thursday,Available,16:00,03:00
EMP-003,Jasmine,Chen,Bartender,Friday,Available,16:00,03:00
EMP-003,Jasmine,Chen,Bartender,Saturday,Available,11:00,03:00
EMP-003,Jasmine,Chen,Bartender,Sunday,All Day Unavailable,,
EMP-004,Jake,Patterson,Bartender,Monday,Available,11:00,03:00
EMP-004,Jake,Patterson,Bartender,Tuesday,Available,11:00,03:00
EMP-004,Jake,Patterson,Bartender,Wednesday,Available,11:00,03:00
EMP-004,Jake,Patterson,Bartender,Thursday,Available,11:00,03:00
EMP-004,Jake,Patterson,Bartender,Friday,Available,16:00,03:00
EMP-004,Jake,Patterson,Bartender,Saturday,Available,16:00,03:00
EMP-004,Jake,Patterson,Bartender,Sunday,Available,11:00,03:00
EMP-005,Tyler,Brooks,Lead Bartender,Monday,Available,11:00,17:00
